t(s),T(K),p(MPa),sigma(1/(Ohm*cm)),q(W/cm3),Rd(Ohm),Fr(W/cm)
3.597931034482758405e-04,1.065270370686094066e+04,1.514907836914062278e+00,3.708351177585178959e+01,9.777273849826192600e+04,1.648050446697048699e+00,1.222159231228274075e+04
3.627999999999999823e-04,1.062127383493628440e+04,1.508395385742187234e+00,3.673186284133078772e+01,9.504736036128659907e+04,1.663827898173475983e+00,1.188092004516082488e+04
3.658068965517241242e-04,1.058982290630041643e+04,1.501950073242187322e+00,3.637997710383814365e+01,9.233934902077814331e+04,1.679921292222034568e+00,1.154241862759726791e+04
3.688137931034482660e-04,1.055846187460628425e+04,1.495538330078125089e+00,3.602918171335390696e+01,8.965512956811445474e+04,1.696277718254030509e+00,1.120689119601430684e+04
3.718206896551724079e-04,1.052724671346822470e+04,1.489227294921875000e+00,3.568001617910249479e+01,8.700213544794992777e+04,1.712877534598279627e+00,1.087526693099374097e+04
3.748275862068965497e-04,1.049623222461786099e+04,1.483016967773437278e+00,3.533310824623389124e+01,8.438404606309789233e+04,1.729694928659496922e+00,1.054800575788723654e+04
3.778344827586206916e-04,1.046549311968866823e+04,1.476890563964843750e+00,3.498934059094720794e+01,8.180515576544971555e+04,1.746689052010892196e+00,1.022564447068121444e+04
3.808413793103447792e-04,1.043505223851979281e+04,1.470864868164062589e+00,3.464894677546763546e+01,7.926750699630983581e+04,1.763848654428918916e+00,9.908438374538729477e+03
3.838482758620689211e-04,1.040490208631223504e+04,1.464956665039062411e+00,3.431181084047213403e+01,7.677081214722881850e+04,1.781179618628570660e+00,9.596351518403602313e+03
3.868551724137930629e-04,1.037495639540314914e+04,1.459115600585937367e+00,3.397701867263351971e+01,7.430594140457551111e+04,1.798730451783655981e+00,9.288242675571938889e+03
3.898620689655172048e-04,1.034516595166630395e+04,1.453375244140625355e+00,3.364394880718784009e+01,7.187043289296004514e+04,1.816537603761625874e+00,8.983804111620005642e+03
3.928689655172413467e-04,1.031558971228428891e+04,1.447702026367187367e+00,3.331333055989511394e+01,6.946676443729872699e+04,1.834565836562221941e+00,8.683345554662340874e+03
3.958758620689654885e-04,1.028633693691084409e+04,1.442129516601562633e+00,3.298636223940249579e+01,6.710393580184374878e+04,1.852750470140803296e+00,8.387991975230468597e+03
3.988827586206896304e-04,1.025761003472099583e+04,1.436691284179687500e+00,3.266531008550443715e+01,6.479745208801940316e+04,1.870960293574816857e+00,8.099681511002425395e+03
4.018896551724137722e-04,1.022944384170246121e+04,1.431387329101562633e+00,3.235056896948333360e+01,6.254908018608720158e+04,1.889163006837337733e+00,7.818635023260900198e+03
4.048965517241379141e-04,1.020185740958074166e+04,1.426251220703124822e+00,3.204229626986576562e+01,6.036070373667235981e+04,1.907338276650415665e+00,7.545087967084044976e+03
4.079034482758620559e-04,1.017481392001623863e+04,1.421215820312499822e+00,3.174017557640370057e+01,5.822633569007635379e+04,1.925493386140003871e+00,7.278291961259544223e+03
4.109103448275861978e-04,1.014831177712002500e+04,1.416348266601562544e+00,3.144407084949595443e+01,5.614764598559075239e+04,1.943625507009296483e+00,7.018455748198844049e+03
4.139172413793103396e-04,1.012235187224857509e+04,1.411581420898437189e+00,3.115410027534818838e+01,5.412154861066583544e+04,1.961716037604451790e+00,6.765193576333229430e+03
4.169241379310344815e-04,1.009691403233620986e+04,1.406948852539062322e+00,3.086997067867310918e+01,5.214714206242756336e+04,1.979771823674266962e+00,6.518392757803445420e+03
4.199310344827585691e-04,1.007200121972152738e+04,1.402450561523437278e+00,3.059171098521960630e+01,5.022396104952941823e+04,1.997779665766840518e+00,6.277995131191177279e+03
4.229379310344827110e-04,1.004765373082074075e+04,1.398052978515624822e+00,3.031983674163388542e+01,4.835313216663499770e+04,2.015693510096202345e+00,6.044141520829374713e+03
4.259448275862068528e-04,1.002394425689121272e+04,1.393823242187500089e+00,3.005506122954670900e+01,4.654129091277662519e+04,2.033451127599301689e+00,5.817661364097078149e+03
4.289517241379309947e-04,1.000070061648688534e+04,1.389694213867187278e+00,2.979551979028081377e+01,4.477348753833788214e+04,2.051164019874674338e+00,5.596685942292235268e+03
4.319586206896551366e-04,9.975802404473277420e+03,1.384994506835937500e+00,2.956087106503588302e+01,4.381437986210868985e+04,2.067445780363834640e+00,5.476797482763586231e+03
4.349655172413792784e-04,9.949766512319116373e+03,1.380126953125000000e+00,2.931672700271723286e+01,4.284634876416272164e+04,2.084663071072814233e+00,5.355793595520340205e+03
4.379724137931034203e-04,9.922613880670507569e+03,1.375057983398437100e+00,2.906211066121667130e+01,4.184262662920658477e+04,2.102927033061171347e+00,5.230328328650823096e+03
4.409793103448275621e-04,9.894460910184880049e+03,1.369854736328124822e+00,2.879803512850883607e+01,4.080943581280704529e+04,2.122210695089612464e+00,5.101179476600880662e+03
4.439862068965517040e-04,9.865452326085429377e+03,1.364517211914062278e+00,2.852590621738032439e+01,3.975188378805415414e+04,2.142455972531075226e+00,4.968985473506769267e+03
4.469931034482758458e-04,9.835740502686374384e+03,1.359112548828124822e+00,2.824708526023765387e+01,3.867704467708460288e+04,2.163603698726316971e+00,4.834630584635575360e+03
4.499999999999999877e-04,9.805487705648505653e+03,1.353640747070312234e+00,2.796314787502686983e+01,3.759034091646150773e+04,2.185572898316945345e+00,4.698792614557688466e+03
